Name	Subtitle	Acceleration	TopSpeed	Range	Efficiency	FastChargeSpeed	Drive	NumberofSeats	PriceinGermany	PriceinUK
Tesla Cybertruck Tri Motor	Battery Electric Vehicle |       200 kWh 	3.0 sec	210 km/h	750 km	267 Wh/km	710 km/h	All Wheel Drive	7	EUR75.000	BGP68.000
Lexus UX 300e	Battery Electric Vehicle |       50 kWh 	7.5 sec	160 km/h	260 km	192 Wh/km	150 km/h	Front Wheel Drive	5	EUR47.550	BGP43.900
BMW i4 eDrive40	Battery Electric Vehicle |       80.7 kWh	5.7 sec	190 km/h	475 km	170 Wh/km	660 km/h	Rear Wheel Drive	5	EUR58.300	BGP51.905
Audi e-tron 55 quattro	Battery Electric Vehicle |       86.5 kWh	5.7 sec	200 km/h	365 km	237 Wh/km	590 km/h	All Wheel Drive	5	N/A	BGP71.500
Aiways U5 	Battery Electric Vehicle |       63 kWh 	7.5 sec	150 km/h	335 km	188 Wh/km	350 km/h	Front Wheel Drive	5	EUR35.993	N/A
Renault Twingo Electric	Battery Electric Vehicle |       21.3 kWh	12.6 sec	135 km/h	130 km	164 Wh/km	-	Rear Wheel Drive	4	EUR24.790	N/A
Audi e-tron S 55 quattro	Battery Electric Vehicle |       86.5 kWh	4.5 sec	210 km/h	320 km	270 Wh/km	510 km/h	All Wheel Drive	5	EUR93.800	BGP87.000
Audi e-tron S Sportback 55 quattro	Battery Electric Vehicle |       86.5 kWh	4.5 sec	210 km/h	335 km	258 Wh/km	540 km/h	All Wheel Drive	5	EUR96.050	BGP88.700
Volkswagen ID.4 1st	Battery Electric Vehicle |       77 kWh	8.5 sec	160 km/h	410 km	188 Wh/km	500 km/h	Rear Wheel Drive	5	N/A	BGP40.800
Byton M-Byte 95 kWh 2WD	Battery Electric Vehicle |       95 kWh 	7.5 sec	190 km/h	400 km	238 Wh/km	480 km/h	Rear Wheel Drive	5	EUR62.000	BGP57.500
Fiat 500e Cabrio	Battery Electric Vehicle |       37.3 kWh 	9.0 sec	150 km/h	245 km	152 Wh/km	410 km/h	Front Wheel Drive	4	EUR30.560	BGP26.645
Opel Mokka-e 	Battery Electric Vehicle |       45 kWh 	8.5 sec	150 km/h	255 km	176 Wh/km	340 km/h	Front Wheel Drive	5	EUR34.110	BGP30.540
Skoda Enyaq iV 60	Battery Electric Vehicle |       58 kWh	8.7 sec	160 km/h	330 km	176 Wh/km	420 km/h	Rear Wheel Drive	5	EUR38.850	BGP31.995
Skoda Enyaq iV 80	Battery Electric Vehicle |       77 kWh	8.6 sec	160 km/h	420 km	183 Wh/km	510 km/h	Rear Wheel Drive	5	EUR43.950	BGP39.350
